Crop	N	P	K	Temperature	humidity	pH	Rainfall	State	Season	Price
chickpea	36.38	64.3	75.65	23.45	16.62	6.61	60.32	West Bengal	Zaid	173.5
chickpea	41.08	67.45	79.28	20.92	17.95	7.05	67.82	Maharashtra	Rabi	53.66
chickpea	53.65	55.48	80.83	21.36	19.55	5.52	73.4	Punjab	Post-Monsoon	256.21
chickpea	49.54	57.08	80.6	17.38	17.94	5.62	99.88	Punjab	Zaid	36.98
chickpea	53.43	72.95	80.4	22.01	16.98	7.45	63.4	Uttar Pradesh	Rabi	194.79
chickpea	42.89	66.84	71.25	21.62	15.05	6.08	94.04	Karnataka	Zaid	102.24
chickpea	40.44	56.49	74.05	22.8	18.68	5.81	66.57	Karnataka	Zaid	127.89
chickpea	45.72	74.29	74.15	18.08	16.12	5.74	66.3	Punjab	Zaid	249.65
chickpea	48.94	55.81	86.72	18.28	14.73	6.0	74.23	Maharashtra	Kharif	206.38
chickpea	40.2	74.81	70.62	19.04	17.62	7.0	69.99	Karnataka	Kharif	243.13
chickpea	37.8	55.24	86.61	24.83	15.05	7.15	74.89	Punjab	Kharif	178.87
chickpea	40.18	71.25	70.44	15.64	21.22	6.39	65.15	Tamil Nadu	Kharif	22.38
chickpea	44.22	58.36	81.48	23.22	17.16	5.56	87.33	West Bengal	Zaid	72.27
chickpea	38.74	60.6	87.67	15.35	18.95	5.99	71.8	Karnataka	Post-Monsoon	27.68
chickpea	40.6	57.74	73.99	23.85	18.21	6.76	92.09	Uttar Pradesh	Post-Monsoon	236.76
kidneybeans	18.59	65.89	19.85	24.13	21.01	6.08	108.99	Tamil Nadu	Rabi	18.5
kidneybeans	23.11	60.62	23.09	19.72	20.14	6.38	111.64	West Bengal	Kharif	81.88
kidneybeans	17.41	65.67	22.91	22.37	22.58	6.92	128.78	Karnataka	Zaid	281.21
kidneybeans	24.92	58.47	17.37	18.18	22.43	6.04	129.58	Punjab	Zaid	284.79
kidneybeans	20.64	66.26	16.88	24.88	23.29	6.24	115.45	Karnataka	Kharif	36.17
kidneybeans	17.33	59.38	20.26	15.01	23.51	5.8	106.52	Punjab	Rabi	276.45
kidneybeans	23.44	61.47	15.22	20.87	23.5	6.66	142.32	Tamil Nadu	Kharif	118.34
kidneybeans	24.42	62.91	16.01	18.02	18.82	5.74	147.43	Punjab	Post-Monsoon	198.26
kidneybeans	16.74	74.37	21.94	24.29	22.72	5.83	129.45	West Bengal	Post-Monsoon	98.98
kidneybeans	21.88	57.55	22.29	24.49	23.69	6.09	149.71	Maharashtra	Kharif	62.8
kidneybeans	18.18	71.18	21.11	21.4	18.62	6.24	116.56	Uttar Pradesh	Rabi	110.57
kidneybeans	18.2	67.72	24.63	23.22	22.02	6.59	116.79	Uttar Pradesh	Zaid	70.81
kidneybeans	21.93	62.01	22.87	22.2	18.29	6.16	120.98	West Bengal	Post-Monsoon	152.99
kidneybeans	18.79	65.92	16.01	19.79	23.18	6.48	134.36	West Bengal	Post-Monsoon	31.38
kidneybeans	23.46	60.9	18.19	24.52	18.45	5.76	118.77	Punjab	Kharif	168.64
kidneybeans	23.98	56.86	20.94	21.14	20.9	5.55	147.12	West Bengal	Post-Monsoon	55.56
kidneybeans	16.01	59.11	16.9	21.97	22.33	6.59	113.26	Tamil Nadu	Zaid	78.89
kidneybeans	15.5	66.44	23.4	16.54	20.16	6.14	114.73	Punjab	Post-Monsoon	67.91
kidneybeans	15.26	58.42	17.92	15.82	23.06	5.96	119.87	Karnataka	Zaid	36.43
kidneybeans	20.44	58.7	23.85	18.69	20.67	5.89	123.25	West Bengal	Zaid	173.63
kidneybeans	16.51	68.93	15.97	21.68	22.85	6.12	137.82	West Bengal	Kharif	253.83
kidneybeans	23.18	63.37	20.36	23.67	20.85	6.82	123.81	Uttar Pradesh	Post-Monsoon	271.81
kidneybeans	22.14	65.04	24.0	23.0	22.07	6.43	106.01	Karnataka	Rabi	285.23
kidneybeans	16.67	59.24	16.93	15.43	18.47	6.52	110.1	Punjab	Rabi	251.89
kidneybeans	17.58	73.22	24.14	15.67	20.33	6.1	116.31	Tamil Nadu	Post-Monsoon	275.98
kidneybeans	15.12	69.01	20.88	22.82	18.68	5.72	128.33	Maharashtra	Kharif	278.23
kidneybeans	20.63	57.02	17.86	20.36	20.06	6.12	119.15	Karnataka	Post-Monsoon	20.87
kidneybeans	17.75	57.88	21.09	21.94	18.23	6.83	116.57	West Bengal	Kharif	226.27
kidneybeans	24.21	72.94	15.2	23.17	19.82	5.92	124.58	Punjab	Kharif	292.02
kidneybeans	17.28	61.01	22.44	22.74	19.93	6.59	130.25	Uttar Pradesh	Rabi	138.1
kidneybeans	24.13	63.14	19.84	20.17	20.24	5.58	139.57	Uttar Pradesh	Zaid	215.78
kidneybeans	19.03	70.61	20.24	20.69	19.04	6.81	110.04	Uttar Pradesh	Rabi	19.59
kidneybeans	15.51	62.21	16.99	18.68	20.79	6.1	146.15	Punjab	Kharif	80.16
kidneybeans	19.89	63.92	24.61	19.75	21.31	6.02	141.88	Tamil Nadu	Kharif	92.67
kidneybeans	18.87	58.26	20.72	24.65	23.14	6.47	133.88	Tamil Nadu	Post-Monsoon	158.85
kidneybeans	23.65	74.34	21.82	19.74	18.79	5.76	140.04	West Bengal	Zaid	186.42
kidneybeans	24.43	69.25	22.09	17.75	23.37	6.78	122.95	West Bengal	Post-Monsoon	97.62
kidneybeans	20.21	67.47	20.84	15.07	24.0	6.95	141.97	Maharashtra	Zaid	96.56
kidneybeans	16.08	56.28	24.88	21.41	23.17	5.89	135.55	Punjab	Zaid	64.62
kidneybeans	20.17	59.81	15.57	23.57	22.86	6.11	115.98	West Bengal	Kharif	200.07
kidneybeans	24.97	60.19	19.19	18.88	18.21	6.56	128.6	West Bengal	Zaid	220.7
kidneybeans	17.22	65.69	22.85	24.07	22.03	6.26	142.27	Punjab	Rabi	95.2
kidneybeans	19.71	69.82	22.25	20.59	23.48	6.92	144.98	Punjab	Kharif	74.45
kidneybeans	17.23	72.43	19.2	23.87	20.23	6.38	123.19	Uttar Pradesh	Post-Monsoon	25.57
kidneybeans	21.34	66.61	21.21	19.72	19.17	5.68	134.03	Maharashtra	Zaid	129.8
kidneybeans	23.71	58.02	24.92	18.43	23.92	6.84	149.33	West Bengal	Zaid	260.09
kidneybeans	16.8	56.62	18.33	24.87	19.88	5.59	122.6	West Bengal	Rabi	177.12
kidneybeans	16.58	70.7	22.8	16.29	20.6	6.14	121.45	Karnataka	Post-Monsoon	11.35
kidneybeans	20.34	69.61	24.5	23.92	22.54	6.3	100.9	Uttar Pradesh	Rabi	75.62
kidneybeans	23.77	61.24	16.03	20.03	19.84	5.6	102.29	Tamil Nadu	Post-Monsoon	221.07
kidneybeans	20.96	61.76	23.88	24.95	20.06	6.85	117.96	West Bengal	Rabi	284.94
kidneybeans	24.18	63.07	17.28	22.27	18.79	6.6	129.48	West Bengal	Kharif	116.31
kidneybeans	21.51	55.75	23.77	17.56	21.21	5.57	149.73	Punjab	Kharif	199.53
kidneybeans	15.2	68.79	19.17	18.8	21.28	6.21	107.66	Punjab	Kharif	97.32
kidneybeans	21.62	68.25	17.7	21.06	18.82	6.75	105.25	Punjab	Kharif	91.98
kidneybeans	22.85	64.95	21.09	22.78	22.99	6.96	117.9	Karnataka	Zaid	56.51
kidneybeans	20.48	73.21	21.88	19.81	19.41	5.52	104.45	Uttar Pradesh	Post-Monsoon	53.25
kidneybeans	15.9	65.23	22.24	16.01	19.54	5.85	149.43	Tamil Nadu	Zaid	144.64
kidneybeans	16.0	58.49	15.39	17.91	22.81	5.97	136.93	Uttar Pradesh	Kharif	12.8
kidneybeans	16.38	67.94	18.29	23.95	23.73	5.9	136.65	Tamil Nadu	Zaid	63.03
kidneybeans	19.01	74.25	17.72	18.86	23.1	6.7	132.44	West Bengal	Kharif	48.43
kidneybeans	22.26	74.63	23.44	16.04	23.47	6.22	128.45	Karnataka	Rabi	187.28
kidneybeans	22.79	67.23	23.63	23.8	22.36	6.84	124.15	Karnataka	Kharif	267.4
kidneybeans	19.41	56.27	21.55	15.12	23.21	6.29	137.18	Punjab	Rabi	293.59
kidneybeans	21.7	61.77	20.23	22.01	18.57	6.49	112.43	Tamil Nadu	Post-Monsoon	53.11
kidneybeans	23.26	72.84	21.13	15.12	23.61	6.26	123.46	Karnataka	Rabi	31.71
kidneybeans	19.92	59.82	24.7	15.5	19.34	6.46	120.16	West Bengal	Kharif	143.14
kidneybeans	23.01	63.96	23.57	19.47	18.71	6.25	132.67	Uttar Pradesh	Post-Monsoon	129.58
kidneybeans	20.57	55.0	15.91	21.04	21.71	5.96	125.42	West Bengal	Post-Monsoon	285.6
kidneybeans	18.63	56.09	17.23	19.54	21.36	6.43	123.66	Punjab	Zaid	217.61
kidneybeans	16.14	70.19	17.22	18.41	22.98	6.95	114.6	Maharashtra	Zaid	213.61
kidneybeans	15.46	58.28	16.4	22.17	22.33	5.66	130.54	West Bengal	Kharif	279.76
kidneybeans	18.93	64.14	22.81	22.17	18.65	6.12	146.33	Punjab	Kharif	233.92
kidneybeans	19.51	68.17	24.56	16.35	20.99	6.3	102.43	Karnataka	Post-Monsoon	278.07
kidneybeans	22.81	73.2	21.92	16.74	22.89	5.66	132.88	Maharashtra	Zaid	156.19
kidneybeans	18.85	74.59	24.16	22.62	19.64	6.95	148.52	Karnataka	Rabi	50.07
kidneybeans	21.03	72.73	20.12	23.43	21.29	5.97	136.84	Maharashtra	Rabi	68.26
kidneybeans	21.24	60.81	18.45	21.72	23.89	6.48	147.92	Maharashtra	Zaid	216.0
kidneybeans	22.61	66.25	20.83	24.43	22.26	6.51	144.69	Maharashtra	Zaid	264.47
kidneybeans	19.22	55.26	16.06	18.81	18.32	5.58	113.35	West Bengal	Zaid	208.18
kidneybeans	16.46	56.24	22.84	17.04	21.25	6.04	122.63	Maharashtra	Rabi	225.3
kidneybeans	20.61	59.75	22.84	22.99	19.73	6.5	146.32	Karnataka	Post-Monsoon	287.44
kidneybeans	24.76	61.25	20.52	15.13	19.51	6.43	139.05	Karnataka	Rabi	274.33
kidneybeans	22.05	67.95	22.55	20.47	21.62	6.66	148.21	Tamil Nadu	Post-Monsoon	61.45
kidneybeans	21.83	58.74	16.74	20.14	20.26	6.14	127.83	West Bengal	Rabi	179.36
kidneybeans	17.55	61.61	22.1	16.55	18.92	5.98	102.54	Punjab	Zaid	152.26
kidneybeans	20.73	62.16	22.84	18.18	19.32	5.78	103.41	Maharashtra	Rabi	130.62
kidneybeans	20.37	56.84	17.21	17.13	19.99	6.04	110.92	Maharashtra	Post-Monsoon	299.02
kidneybeans	23.24	74.62	15.09	21.69	20.67	6.86	130.69	Maharashtra	Rabi	288.08
kidneybeans	21.83	61.42	24.16	24.45	20.32	6.31	114.14	Maharashtra	Zaid	159.15
kidneybeans	20.09	64.74	17.96	21.52	19.92	5.62	104.8	Maharashtra	Kharif	191.81
kidneybeans	17.11	67.59	17.13	21.85	23.01	5.81	141.44	Punjab	Post-Monsoon	197.5
kidneybeans	24.4	69.94	16.54	19.59	19.99	5.63	102.71	Tamil Nadu	Kharif	176.74
kidneybeans	17.28	60.17	18.88	21.3	20.6	5.53	133.66	Maharashtra	Kharif	196.01
kidneybeans	21.18	70.12	20.86	22.01	18.44	6.89	105.31	Punjab	Zaid	185.9
kidneybeans	17.82	73.53	18.81	23.22	18.18	5.73	110.99	Punjab	Post-Monsoon	241.06
kidneybeans	23.49	60.9	21.34	17.98	23.32	6.95	143.36	Punjab	Zaid	287.64
kidneybeans	15.11	72.5	16.41	15.42	21.44	6.09	127.38	Uttar Pradesh	Zaid	70.92
kidneybeans	22.41	69.52	17.12	24.06	23.11	5.71	109.2	Maharashtra	Zaid	66.35
kidneybeans	16.81	70.99	23.52	23.51	23.59	6.99	123.06	Maharashtra	Kharif	94.29
pigeonpeas	15.67	56.96	32.26	29.87	51.62	5.26	182.77	Uttar Pradesh	Zaid	189.66
pigeonpeas	24.0	61.36	29.51	31.16	51.11	6.17	178.28	Tamil Nadu	Zaid	288.01
pigeonpeas	16.69	61.26	32.86	32.12	57.82	5.55	167.97	Punjab	Zaid	264.59
pigeonpeas	19.63	62.17	28.05	30.52	48.52	6.21	192.09	West Bengal	Rabi	86.34
pigeonpeas	23.86	56.53	25.75	25.19	55.14	5.06	179.09	Karnataka	Rabi	272.83
pigeonpeas	20.52	65.87	34.99	29.72	60.5	5.73	161.17	Maharashtra	Zaid	48.83
pigeonpeas	20.01	56.81	28.64	25.11	49.78	6.93	199.09	Punjab	Rabi	229.59
pigeonpeas	16.4	58.18	30.66	30.66	62.44	5.29	186.6	Tamil Nadu	Kharif	73.46
pigeonpeas	19.88	56.26	28.69	25.43	49.14	6.82	168.06	Karnataka	Post-Monsoon	265.65
pigeonpeas	15.4	67.97	26.03	34.68	57.67	5.55	187.1	Maharashtra	Rabi	119.23
pigeonpeas	18.79	66.75	33.98	25.78	50.03	6.95	161.14	Karnataka	Zaid	247.0
pigeonpeas	18.45	70.85	33.87	25.07	62.64	5.88	161.5	Maharashtra	Zaid	71.34
pigeonpeas	16.87	62.24	32.17	26.18	49.61	6.62	186.01	Karnataka	Post-Monsoon	148.92
pigeonpeas	20.91	67.95	29.11	27.44	47.56	6.18	156.74	Maharashtra	Kharif	268.33
pigeonpeas	16.47	58.33	34.22	30.17	53.11	6.94	181.88	Punjab	Zaid	284.7
pigeonpeas	17.17	67.13	29.71	29.82	49.39	5.82	157.14	Maharashtra	Rabi	190.73
pigeonpeas	20.11	58.35	31.86	34.22	56.93	5.14	168.91	West Bengal	Kharif	14.8
pigeonpeas	20.23	73.19	31.84	33.27	57.11	5.35	195.08	Maharashtra	Kharif	264.55
pigeonpeas	20.31	70.05	25.93	31.59	63.04	6.08	150.06	Punjab	Post-Monsoon	161.39
pigeonpeas	18.7	55.87	30.3	27.29	61.05	6.58	169.06	Maharashtra	Kharif	133.39
pigeonpeas	17.55	70.32	34.1	25.84	56.97	6.09	162.89	Uttar Pradesh	Kharif	177.62
pigeonpeas	16.18	55.14	31.55	31.88	51.32	5.72	157.74	Punjab	Zaid	85.78
pigeonpeas	20.36	66.29	31.12	34.92	52.95	5.41	177.61	Maharashtra	Post-Monsoon	61.83
pigeonpeas	20.59	64.68	34.89	30.78	60.48	5.8	156.9	Punjab	Kharif	226.87
pigeonpeas	19.47	68.99	26.62	27.14	53.01	5.68	177.53	Punjab	Kharif	56.61
pigeonpeas	24.65	55.11	25.91	26.45	63.52	5.87	153.2	West Bengal	Zaid	33.21
pigeonpeas	15.38	62.69	34.84	31.14	55.42	6.42	179.87	West Bengal	Post-Monsoon	137.3
pigeonpeas	17.02	68.14	33.04	27.86	45.67	6.2	175.79	West Bengal	Rabi	205.47
pigeonpeas	18.6	68.1	34.76	25.87	50.52	5.8	183.48	Karnataka	Rabi	160.15
pigeonpeas	22.37	56.37	25.9	27.84	61.6	6.83	167.4	Tamil Nadu	Rabi	185.85
pigeonpeas	16.95	73.59	30.75	27.61	53.14	5.21	153.62	Tamil Nadu	Zaid	284.63
pigeonpeas	23.03	74.13	33.76	33.13	56.5	6.39	198.3	Maharashtra	Post-Monsoon	233.29
pigeonpeas	22.57	74.22	29.59	29.61	56.74	5.05	155.81	Uttar Pradesh	Post-Monsoon	193.76
pigeonpeas	24.94	68.54	27.3	28.16	64.11	6.03	150.49	Tamil Nadu	Rabi	93.31
pigeonpeas	18.99	69.98	28.42	30.55	48.57	5.63	160.93	Maharashtra	Zaid	63.01
pigeonpeas	22.46	73.61	26.9	32.37	49.7	5.48	163.27	West Bengal	Rabi	252.13
pigeonpeas	23.36	62.12	32.79	26.2	46.57	6.91	174.63	Uttar Pradesh	Kharif	255.92
pigeonpeas	18.71	61.31	33.98	33.81	56.49	5.55	159.14	Maharashtra	Zaid	125.39
pigeonpeas	22.5	57.56	30.26	29.23	63.79	5.07	167.36	Punjab	Rabi	142.59
pigeonpeas	16.2	65.36	28.16	25.08	58.48	5.76	155.04	Tamil Nadu	Zaid	64.27
pigeonpeas	17.63	60.39	34.59	28.43	48.68	5.85	170.95	Tamil Nadu	Zaid	257.75
pigeonpeas	17.8	58.6	26.31	30.76	49.57	5.2	163.5	West Bengal	Post-Monsoon	258.33
pigeonpeas	16.96	71.0	32.39	29.73	45.19	5.84	156.72	Punjab	Zaid	237.75
pigeonpeas	18.0	66.24	30.68	28.98	58.81	5.12	190.69	Karnataka	Kharif	140.46
pigeonpeas	18.35	62.22	30.6	34.32	50.15	5.04	156.06	Punjab	Rabi	177.29
pigeonpeas	21.5	65.77	34.79	27.85	51.5	6.02	188.74	Karnataka	Kharif	120.51
pigeonpeas	17.87	67.63	26.45	26.68	61.15	5.67	181.56	Maharashtra	Post-Monsoon	256.18
pigeonpeas	15.71	58.24	27.28	28.17	50.83	5.53	182.23	Tamil Nadu	Post-Monsoon	236.48
pigeonpeas	24.39	69.96	30.21	29.5	48.35	6.71	156.25	West Bengal	Zaid	282.73
pigeonpeas	22.01	56.6	26.67	26.03	46.28	6.76	177.42	Uttar Pradesh	Post-Monsoon	161.96
pigeonpeas	24.96	57.08	31.18	25.84	63.63	5.78	161.47	Punjab	Zaid	138.52
pigeonpeas	16.26	65.53	26.71	25.35	52.14	6.83	193.21	Karnataka	Zaid	169.08
pigeonpeas	16.35	73.97	30.39	30.91	54.13	6.5	193.86	Karnataka	Zaid	273.59
pigeonpeas	19.82	59.54	25.9	28.08	53.24	5.31	150.53	Maharashtra	Rabi	109.73
pigeonpeas	19.69	55.17	34.22	34.47	54.54	5.02	171.52	Tamil Nadu	Rabi	241.06
pigeonpeas	20.48	58.77	33.82	29.37	50.0	6.43	182.3	Karnataka	Rabi	86.26
pigeonpeas	19.22	59.79	32.65	34.1	61.15	6.37	164.23	Punjab	Zaid	129.74
pigeonpeas	23.53	58.65	27.9	31.37	57.35	5.54	181.14	West Bengal	Zaid	15.62
pigeonpeas	15.5	65.7	26.86	26.02	50.38	6.43	186.36	West Bengal	Kharif	53.7
pigeonpeas	19.94	61.84	28.12	32.99	64.96	5.93	189.57	Tamil Nadu	Kharif	254.63
pigeonpeas	24.52	56.12	32.76	25.71	54.4	5.38	192.08	Karnataka	Kharif	45.37
pigeonpeas	22.68	59.98	32.71	29.43	59.75	5.07	173.04	Uttar Pradesh	Rabi	147.12
pigeonpeas	21.81	61.24	28.23	31.29	45.84	6.87	176.05	Tamil Nadu	Post-Monsoon	195.17
pigeonpeas	16.99	72.75	33.64	27.18	47.26	6.27	166.23	West Bengal	Zaid	179.56
pigeonpeas	18.96	59.86	34.69	30.81	58.82	6.38	157.75	Uttar Pradesh	Rabi	55.73
pigeonpeas	15.91	67.37	34.31	34.97	57.5	5.12	182.23	Punjab	Kharif	46.49
pigeonpeas	17.33	74.63	32.89	32.57	61.11	5.88	159.65	Punjab	Post-Monsoon	113.87
pigeonpeas	16.35	72.97	29.85	29.38	50.89	6.39	159.49	West Bengal	Zaid	103.87
pigeonpeas	19.68	72.35	30.99	33.61	48.21	6.06	172.47	Tamil Nadu	Zaid	141.68
pigeonpeas	22.76	65.12	32.34	33.83	57.39	5.73	181.01	Tamil Nadu	Kharif	200.9
pigeonpeas	20.39	62.75	30.24	29.98	56.03	6.23	166.13	Punjab	Zaid	42.03
pigeonpeas	20.23	56.33	33.35	26.3	62.47	5.4	174.27	Uttar Pradesh	Kharif	175.59
pigeonpeas	23.36	68.16	30.26	32.01	50.12	5.73	180.3	Uttar Pradesh	Kharif	279.76
pigeonpeas	17.09	64.83	33.9	25.8	61.02	5.12	177.9	Karnataka	Zaid	240.33
pigeonpeas	15.58	67.34	30.29	32.34	61.69	5.16	160.8	Maharashtra	Kharif	39.36
pigeonpeas	17.31	62.71	26.93	31.57	56.4	6.9	177.92	Maharashtra	Post-Monsoon	226.37
pigeonpeas	22.66	66.53	31.74	32.03	53.54	5.21	189.62	Maharashtra	Post-Monsoon	156.36
pigeonpeas	21.58	65.68	31.0	34.34	63.05	6.1	199.84	Tamil Nadu	Post-Monsoon	231.61
pigeonpeas	19.31	69.52	31.08	30.63	49.28	6.53	196.31	Tamil Nadu	Zaid	288.88
pigeonpeas	19.47	62.94	32.26	34.83	56.92	6.04	199.67	Tamil Nadu	Kharif	97.1
pigeonpeas	17.22	72.11	25.22	33.22	58.79	5.55	177.68	Maharashtra	Rabi	37.34
pigeonpeas	19.6	58.12	27.65	33.9	50.0	5.51	165.02	Maharashtra	Post-Monsoon	175.03
pigeonpeas	17.17	56.54	28.25	29.83	54.77	6.8	185.14	Uttar Pradesh	Zaid	20.84
pigeonpeas	23.08	62.63	32.8	34.22	51.69	6.76	171.72	Uttar Pradesh	Rabi	226.83
pigeonpeas	23.49	73.57	31.34	31.32	46.08	6.05	165.97	Maharashtra	Rabi	104.78
pigeonpeas	21.98	58.06	31.74	34.97	64.42	6.51	178.76	Uttar Pradesh	Rabi	135.26
pigeonpeas	22.86	57.96	28.36	29.76	59.91	6.1	163.13	Karnataka	Post-Monsoon	234.41
pigeonpeas	16.3	57.7	30.59	29.88	58.04	5.39	180.8	Punjab	Rabi	80.27
pigeonpeas	17.66	63.6	31.85	30.76	47.25	5.83	168.26	West Bengal	Zaid	109.91
pigeonpeas	21.55	70.39	26.69	28.5	61.43	6.61	181.16	Karnataka	Kharif	278.02
pigeonpeas	17.33	68.71	26.56	32.28	46.72	6.48	162.15	Maharashtra	Rabi	261.94
pigeonpeas	23.2	55.27	31.94	26.11	54.0	5.05	160.45	Maharashtra	Rabi	69.1
pigeonpeas	20.23	60.17	29.83	32.3	47.83	6.4	150.92	Maharashtra	Kharif	84.08
pigeonpeas	15.6	59.01	31.97	27.71	54.3	6.89	153.33	Punjab	Zaid	202.26
pigeonpeas	24.13	62.2	26.08	27.92	62.67	5.77	198.99	Maharashtra	Kharif	272.12
pigeonpeas	19.85	66.94	25.88	26.99	64.34	6.12	185.62	Uttar Pradesh	Rabi	277.46
pigeonpeas	18.05	64.8	32.44	25.18	58.69	5.71	165.12	Maharashtra	Zaid	245.45
pigeonpeas	21.26	72.57	33.9	33.15	45.59	6.11	164.01	West Bengal	Zaid	270.18
pigeonpeas	21.57	56.76	28.82	34.61	57.25	6.25	161.37	West Bengal	Rabi	133.67
pigeonpeas	18.12	67.11	29.49	26.32	58.05	6.16	184.2	West Bengal	Rabi	99.61
mothbeans	22.05	50.48	16.35	34.96	64.52	3.94	58.66	West Bengal	Zaid	29.67
mothbeans	20.33	54.39	16.84	33.4	47.91	3.59	46.37	Karnataka	Post-Monsoon	97.97
mothbeans	22.46	56.43	21.37	32.38	48.04	4.06	42.63	Uttar Pradesh	Zaid	185.63
mothbeans	21.12	51.93	17.31	25.26	46.59	5.84	42.68	Maharashtra	Post-Monsoon	216.49
mothbeans	18.74	57.04	19.91	26.38	48.87	3.6	55.29	Uttar Pradesh	Zaid	285.56
mothbeans	17.23	53.43	17.03	27.05	48.54	6.36	48.79	Maharashtra	Post-Monsoon	209.48
mothbeans	23.67	57.75	19.28	32.76	57.16	5.97	54.4	Karnataka	Kharif	160.99
mothbeans	19.52	56.54	15.42	34.96	55.37	4.69	54.7	Maharashtra	Post-Monsoon	159.68
mothbeans	21.31	40.99	17.91	28.98	51.09	5.98	49.23	Karnataka	Zaid	187.81
mothbeans	15.55	50.34	16.42	33.3	54.03	5.67	42.26	Maharashtra	Rabi	123.99
mothbeans	18.23	40.5	19.54	33.97	62.92	6.15	41.8	Tamil Nadu	Rabi	218.33
mothbeans	16.24	42.28	19.49	28.63	55.48	4.65	55.82	Maharashtra	Rabi	119.82
mothbeans	18.81	55.37	24.12	30.65	58.19	3.95	57.38	West Bengal	Kharif	131.68
mothbeans	18.1	55.37	19.46	31.26	47.35	3.89	44.06	Maharashtra	Zaid	13.54
mothbeans	19.98	49.97	23.07	31.08	54.87	4.15	53.19	Karnataka	Post-Monsoon	138.14
mothbeans	21.01	40.13	23.82	27.78	57.57	5.96	44.15	West Bengal	Rabi	25.97
mothbeans	18.49	42.91	15.32	30.78	57.07	4.49	41.75	Uttar Pradesh	Post-Monsoon	298.18
mothbeans	16.61	45.69	21.61	32.0	56.45	5.19	59.33	Punjab	Zaid	280.13
mothbeans	15.93	45.99	18.69	28.79	46.35	4.78	51.01	Tamil Nadu	Post-Monsoon	49.02
mothbeans	21.95	45.49	20.27	30.25	58.92	5.34	42.19	Punjab	Kharif	150.26
mothbeans	21.89	58.68	24.86	27.87	57.18	4.45	50.51	Maharashtra	Zaid	278.86
mothbeans	21.14	49.93	22.29	29.98	61.16	6.15	44.65	Tamil Nadu	Rabi	10.46
mothbeans	15.24	52.51	16.18	33.48	60.99	6.5	48.28	Tamil Nadu	Zaid	172.52
mothbeans	21.38	40.23	17.01	27.82	60.8	4.42	50.13	Tamil Nadu	Kharif	43.01
mothbeans	18.33	47.92	20.69	34.6	61.64	4.08	56.68	Punjab	Post-Monsoon	275.69
mothbeans	22.97	52.91	19.81	31.27	62.84	5.11	46.7	Karnataka	Kharif	252.18
mothbeans	17.99	54.5	18.16	30.36	49.17	5.56	55.99	Tamil Nadu	Kharif	291.19
mothbeans	17.8	40.62	24.84	31.27	61.85	5.21	47.79	Maharashtra	Kharif	260.73
mothbeans	22.52	54.11	18.14	25.32	53.28	4.99	44.75	Karnataka	Zaid	72.68
mothbeans	18.02	42.24	22.85	32.78	63.27	4.83	40.5	Karnataka	Rabi	65.16
mothbeans	24.24	54.65	20.24	32.76	47.87	6.12	56.44	Maharashtra	Rabi	69.5
mothbeans	15.37	47.75	23.65	26.16	51.22	3.63	56.96	Uttar Pradesh	Zaid	145.39
mothbeans	15.46	50.41	21.59	28.12	56.55	4.44	57.84	Tamil Nadu	Rabi	65.84
mothbeans	17.77	46.38	19.41	26.18	47.99	4.32	40.31	Maharashtra	Kharif	69.91
mothbeans	18.5	46.37	16.42	32.04	50.67	4.23	41.42	Maharashtra	Zaid	166.77
mothbeans	15.51	40.58	24.03	25.5	52.67	3.76	47.84	Punjab	Post-Monsoon	188.73
mothbeans	18.12	56.35	22.13	31.71	55.67	6.42	55.11	Karnataka	Rabi	36.95
mothbeans	23.02	53.97	15.97	28.1	57.89	5.8	49.41	West Bengal	Rabi	259.72
mothbeans	21.17	58.26	18.92	32.0	58.3	5.87	57.65	Karnataka	Post-Monsoon	18.78
mothbeans	19.75	47.03	19.61	26.71	60.36	5.31	42.55	Uttar Pradesh	Post-Monsoon	247.09
mothbeans	22.97	46.52	21.49	32.92	55.65	4.7	48.27	Maharashtra	Rabi	168.91
mothbeans	24.74	47.68	18.41	33.14	56.82	5.85	48.71	Tamil Nadu	Rabi	60.19
mothbeans	21.7	54.79	22.12	33.37	47.29	5.29	46.51	Uttar Pradesh	Post-Monsoon	61.09
mothbeans	24.56	41.39	16.09	33.14	60.43	4.64	49.89	Punjab	Kharif	36.25
mothbeans	23.17	57.75	24.03	31.36	45.0	3.94	42.98	Maharashtra	Zaid	123.09
mothbeans	20.78	43.91	21.82	28.17	56.41	6.24	46.09	Karnataka	Zaid	297.18
mothbeans	20.83	52.23	20.1	33.48	62.05	3.69	58.02	Uttar Pradesh	Kharif	213.97
mothbeans	23.21	47.18	23.61	33.66	49.7	5.61	47.89	Tamil Nadu	Post-Monsoon	127.75
mothbeans	19.35	44.22	16.73	26.39	56.11	6.03	47.21	Karnataka	Rabi	93.66
mothbeans	23.73	42.51	15.12	31.48	47.88	6.15	53.16	West Bengal	Kharif	49.79
mothbeans	23.06	57.2	23.94	31.95	63.61	5.37	49.09	Karnataka	Post-Monsoon	121.57
mothbeans	17.26	48.5	15.07	29.98	59.62	5.64	45.39	Maharashtra	Zaid	19.7
mothbeans	15.38	49.67	18.69	30.8	64.23	3.74	54.6	Maharashtra	Zaid	144.83
mothbeans	15.78	57.8	15.88	29.72	59.83	6.38	41.56	Punjab	Zaid	187.78
